koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_teq,koi_insol,koi_dor,koi_model_snr,koi_steff,koi_slogg,koi_srad
CONFIRMED,105.303509300,0.0270,6.21400,1.3622e+03,0.033268,4.07825,3.18,0.4238,351.0,3.58,133.710000,40.60,5534.00,4.515,0.8750
CONFIRMED,2.549562652,0.0470,1.69990,4.9510e+02,0.020119,4.65010,1.11,0.0293,682.0,50.90,11.691000,43.70,3716.00,4.740,0.5060
CONFIRMED,13.969501810,0.9010,1.58710,1.1100e+03,0.036995,3.98511,2.04,0.0909,387.0,5.29,34.500000,37.00,3716.00,4.740,0.5060
CONFIRMED,5.212301710,0.1870,2.09800,4.3000e+02,0.018794,4.78967,1.04,0.0471,537.0,19.70,19.020000,29.30,3716.00,4.740,0.5060
CONFIRMED,17.760765240,0.6270,1.66790,1.2872e+03,0.034334,17.97851,1.93,0.1085,368.0,4.34,66.900000,42.60,3826.00,4.744,0.5160
CONFIRMED,10.558404790,0.3100,3.36600,1.9420e+02,0.012634,2.09395,1.41,0.0900,796.0,94.94,23.110000,14.60,5353.00,4.358,1.0230
CANDIDATE,20.927358020,0.9910,3.42560,8.0910e+03,0.143383,0.81405,17.36,0.1498,735.0,69.08,26.612000,263.50,6126.00,4.358,1.1090
CONFIRMED,6.988009530,0.0240,3.10300,1.9320e+02,0.012445,2.04813,1.39,0.0683,914.0,164.86,17.420000,17.10,5353.00,4.358,1.0230
CONFIRMED,22.824514400,0.2790,6.61700,3.2270e+02,0.016692,0.62132,3.36,0.1770,946.0,189.46,25.770000,15.90,6642.00,4.057,1.8460
CONFIRMED,49.101109300,0.5200,6.34100,8.4560e+02,0.027082,1.12947,3.28,0.2530,498.0,14.57,52.400000,39.70,5393.00,4.299,1.1100
CONFIRMED,7.056751450,0.6310,2.02610,1.3000e+02,0.010978,3.53630,1.68,0.0778,1196.0,483.95,21.040000,25.20,6388.00,4.244,1.4020
CONFIRMED,34.853690300,0.4930,5.33300,7.6770e+02,0.025958,1.41193,2.40,0.2046,522.0,17.62,44.900000,27.00,5818.00,4.554,0.8480
CONFIRMED,2.414348680,0.2210,1.27010,1.9100e+02,0.012299,9.60814,0.97,0.0315,953.0,195.08,14.360000,30.00,4507.00,4.573,0.7240
FALSE POSITIVE,2.466070972,1.2230,1.95590,7.0450e+02,0.251698,0.07227,24.30,0.0353,1260.0,595.80,2.850000,42.60,5708.00,4.529,0.8840
CONFIRMED,4.306563890,0.8940,4.11070,2.5700e+02,0.017299,0.06502,1.95,0.0540,1177.0,453.20,3.990000,39.80,6108.00,4.466,1.0300
FALSE POSITIVE,12.964717746,1.2820,1.83030,3.7329e+03,0.353935,1.48087,39.93,0.1115,834.0,114.24,23.600000,183.30,6210.00,4.450,1.0330
FALSE POSITIVE,1.731079436,1.4040,1.84190,1.1974e+04,0.537502,0.66955,56.05,0.0286,1541.0,1332.50,4.730000,36.20,6045.00,4.494,0.9550
CONFIRMED,7.794302043,1.0600,1.10810,3.3874e+03,0.153996,4.56215,16.51,0.0742,882.0,142.82,24.470000,159.20,5494.00,4.405,0.9820
CONFIRMED,14.532448300,0.0010,3.13000,1.3559e+03,0.033083,4.40903,3.11,0.1083,664.0,46.06,36.650000,16.50,5345.00,4.473,0.8600
CONFIRMED,5.248667607,0.8470,1.91700,6.0120e+02,0.025690,1.22945,2.84,0.0596,1056.0,293.42,12.140000,59.50,5807.00,4.437,1.0120
CONFIRMED,7.964314920,0.1890,1.53420,7.4600e+02,0.024538,18.99927,2.44,0.0734,805.0,99.42,39.940000,44.30,5185.00,4.440,0.9100
CONFIRMED,92.729724800,0.8570,6.83000,1.2575e+03,0.038187,0.49438,2.81,0.3608,276.0,1.38,60.800000,43.30,4580.00,4.641,0.6750
CONFIRMED,1.485710994,0.1050,2.28740,2.0824e+04,0.130256,1.52356,14.48,0.0257,1562.0,1404.81,5.622900,1176.60,5624.00,4.432,1.0180
CANDIDATE,30.523145900,1.0600,2.72860,2.2123e+03,0.130484,0.77375,11.26,0.1830,506.0,15.46,33.700000,38.70,5518.00,4.585,0.7900
CONFIRMED,71.311659800,0.0350,8.81300,2.1380e+03,0.042352,0.99346,4.94,0.3540,475.0,12.01,64.400000,43.40,6194.00,4.445,1.0690
CANDIDATE,28.782709550,0.0020,3.45100,8.6450e+02,0.025875,6.37754,2.11,0.1685,443.0,9.09,65.370000,40.10,4774.00,4.580,0.7450
FALSE POSITIVE,15.444288750,1.2750,2.07910,3.5962e+03,0.347304,1.19973,37.58,0.1255,731.0,67.39,24.700000,44.90,5895.00,4.489,0.9910
CONFIRMED,1.411230023,0.8510,1.43250,3.8820e+02,0.021233,0.78246,1.71,0.0221,1164.0,436.04,4.350000,89.30,4575.00,4.564,0.7370
CONFIRMED,96.915170700,0.5410,6.06500,8.6280e+02,0.027419,2.44078,2.37,0.3878,325.0,2.64,106.600000,53.40,5162.00,4.559,0.7910
CONFIRMED,13.474727420,0.0250,2.59950,7.2960e+02,0.024440,6.95203,1.96,0.1034,634.0,38.21,40.560000,25.30,5395.00,4.615,0.7340
CONFIRMED,2.295035150,0.1600,1.65400,1.7210e+02,0.011933,4.28717,1.18,0.0331,1304.0,681.51,10.610000,11.60,5637.00,4.482,0.9090
CONFIRMED,27.495634000,0.6640,4.85800,4.8330e+02,0.021247,0.94603,2.11,0.1629,590.0,28.66,33.600000,24.70,5657.00,4.401,0.9110
CONFIRMED,14.088264420,0.1330,4.18470,8.8940e+02,0.027205,1.71486,2.66,0.1138,724.0,64.97,26.200000,34.20,5853.00,4.529,0.8950
CONFIRMED,3.905081685,0.1310,2.82130,2.1340e+04,0.131910,2.09428,12.78,0.0485,1046.0,282.59,11.907000,1315.80,5543.00,4.540,0.8870
CONFIRMED,110.964370600,0.7290,12.83100,1.2832e+03,0.035366,0.17592,2.11,0.3679,239.0,0.77,48.600000,42.10,4441.00,4.695,0.5460
CANDIDATE,4.539297295,0.8300,1.94550,7.9810e+02,0.029574,1.18462,2.34,0.0494,830.0,112.09,10.886784,50.30,4914.00,4.610,0.7240
CONFIRMED,6.941358240,0.8710,1.88990,8.2500e+02,0.030784,1.46625,2.96,0.0682,876.0,139.05,15.510000,43.10,5527.00,4.491,0.8800
CONFIRMED,17.276296682,0.0850,3.94738,1.0458e+04,0.090661,3.04681,7.31,0.1209,538.0,19.88,36.360000,871.40,4941.00,4.599,0.7380
CONFIRMED,31.782111700,0.1700,3.85600,5.7020e+02,0.021609,4.77947,2.08,0.1879,528.0,18.32,63.430000,21.60,5527.00,4.491,0.8800
CONFIRMED,4.362732330,0.7320,2.23750,3.4160e+02,0.018280,1.17461,1.76,0.0500,1023.0,258.70,10.570000,25.60,5527.00,4.491,0.8800
CONFIRMED,18.684837700,0.4050,3.79650,1.2515e+03,0.032436,2.46841,1.93,0.1135,402.0,6.16,35.700000,41.20,4156.00,4.712,0.5450
CONFIRMED,7.416347010,0.4760,2.13620,5.0550e+02,0.020845,4.72946,1.24,0.0613,547.0,21.10,23.960000,20.60,4156.00,4.712,0.5450
CONFIRMED,9.917242680,0.7860,3.22410,4.5790e+02,0.021657,0.69602,2.85,0.0883,903.0,157.41,15.350000,38.80,5539.00,4.244,1.2070
CONFIRMED,82.534118800,0.0330,4.85560,1.8954e+03,0.038637,6.80263,2.45,0.3104,260.0,1.08,134.800000,40.10,4316.00,4.678,0.5800
CONFIRMED,20.160378580,0.9410,4.13000,3.4360e+02,0.022072,0.15473,1.75,0.1339,510.0,16.03,14.920000,35.10,4975.00,4.614,0.7240
CONFIRMED,10.994708910,0.2650,1.59290,8.8470e+02,0.026796,22.39910,1.71,0.0805,512.0,16.24,52.310000,32.70,4302.00,4.661,0.5860
CANDIDATE,6.736797320,,2.36000,,,,,,,,,,,,
CANDIDATE,124.035899390,0.0750,4.84720,7.6900e+03,0.079644,11.47696,11.13,0.4947,413.0,6.88,210.550000,190.10,5822.00,4.244,1.2800
FALSE POSITIVE,1.194812329,0.4040,1.37770,1.8950e+02,0.012883,3.14274,1.36,0.0222,1806.0,2521.46,6.190000,41.20,6198.00,4.475,0.9700
CONFIRMED,10.849694770,0.5500,3.47400,1.1221e+03,0.031398,1.45330,2.67,0.0914,676.0,49.30,20.830000,43.50,5251.00,4.592,0.7780
CONFIRMED,12.184200060,0.7460,2.50140,4.9930e+02,0.022196,2.24035,2.59,0.1031,819.0,106.52,26.000000,23.30,5771.00,4.374,1.0680
CONFIRMED,3.764170120,0.2870,2.01110,5.5840e+02,0.021335,3.68525,1.70,0.0440,908.0,160.99,14.030000,27.20,5063.00,4.617,0.7280
CONFIRMED,5.929722370,0.0480,2.51800,4.1210e+02,0.018387,3.30245,1.92,0.0649,972.0,210.95,18.310000,8.90,5741.00,4.492,0.9560
CONFIRMED,12.247612100,0.1160,3.20900,4.0270e+02,0.018189,3.23802,1.90,0.1052,763.0,80.29,29.500000,6.80,5741.00,4.492,0.9560
CONFIRMED,13.590515470,0.2320,3.78400,6.2190e+02,0.022536,2.09179,2.40,0.1072,724.0,64.80,27.330000,27.70,5442.00,4.409,0.9740
CONFIRMED,46.877672400,0.8340,10.04100,5.3980e+02,0.024183,0.08246,2.62,0.2495,484.0,13.01,21.200000,37.50,5504.00,4.418,0.9930
CONFIRMED,89.193573700,0.0150,4.01040,8.6830e+02,0.026970,12.62813,3.81,0.3987,483.0,12.83,174.500000,43.50,6071.00,4.239,1.2950
CONFIRMED,13.093909110,0.8600,2.28050,3.9870e+02,0.021118,1.55395,2.20,0.1096,752.0,75.58,24.100000,62.20,5772.00,4.487,0.9560
CONFIRMED,4.915385452,0.4840,2.77570,2.2550e+02,0.014007,1.37812,1.46,0.0570,1042.0,279.43,12.070000,65.60,5772.00,4.487,0.9560
FALSE POSITIVE,87.455958000,1.2620,18.25700,1.6049e+03,0.304131,0.00431,70.11,0.4600,728.0,66.26,12.030000,118.90,7700.00,4.018,2.1110
FALSE POSITIVE,0.805259257,1.2450,1.42246,1.3843e+03,0.287836,0.20168,63.55,0.0183,2723.0,12990.09,1.905000,329.70,5872.00,3.926,2.0220
CONFIRMED,9.767859110,0.9160,2.16490,5.8540e+02,0.027327,0.82250,2.54,0.0852,749.0,74.48,16.070000,54.10,5371.00,4.513,0.8520
CONFIRMED,40.809573430,0.9490,3.15800,4.3610e+02,0.024227,0.63026,3.44,0.2489,623.0,35.68,38.100000,39.30,6183.00,4.301,1.3000
CONFIRMED,22.085515990,0.6560,2.17270,3.1574e+03,0.054067,10.19643,3.34,0.1300,352.0,3.63,64.100000,48.50,3828.00,4.712,0.5650
CONFIRMED,1.151166776,0.0290,1.09070,5.7840e+02,0.021882,8.03646,1.28,0.0177,957.0,199.25,8.257000,83.70,3951.00,4.730,0.5350
FALSE POSITIVE,4.693305543,0.2300,5.17249,1.4523e+04,0.111211,0.37183,17.85,0.0600,1389.0,881.73,7.565000,1765.20,6365.00,4.220,1.4700
CONFIRMED,3.246732048,0.4750,3.05350,6.9982e+03,0.077925,0.88211,12.40,0.0442,1459.0,1072.70,7.890000,775.00,5763.00,4.150,1.4570
FALSE POSITIVE,8.360675900,0.2590,6.28700,1.9480e+02,0.012745,0.26798,1.49,0.0802,929.0,176.04,9.970000,17.70,5771.00,4.374,1.0680
CONFIRMED,62.138597900,0.6990,4.29380,8.8630e+02,0.029043,2.85005,5.14,0.3010,524.0,17.88,83.500000,36.10,5123.00,3.992,1.6210
CANDIDATE,17.118103600,0.4346,1.29000,1.6770e+02,0.012008,51.29749,1.22,0.1314,654.0,43.25,92.600000,6.10,5576.00,4.515,0.9290
CANDIDATE,8.294828110,0.9320,2.74370,5.5950e+02,0.026936,0.27546,2.76,0.0793,876.0,139.38,10.010000,38.10,5773.00,4.478,0.9390
FALSE POSITIVE,26.635216000,1.2420,5.94900,1.4928e+03,0.287022,0.04213,27.64,0.1627,536.0,19.45,11.650000,30.60,5215.00,4.455,0.8820
CONFIRMED,17.848508350,0.8490,5.89190,3.9120e+02,0.020563,0.13439,3.29,0.1385,888.0,146.82,13.130000,43.50,6188.00,4.152,1.4650
CONFIRMED,26.136344300,0.1870,6.61300,3.6220e+02,0.017510,0.76310,2.80,0.1786,782.0,88.29,30.200000,38.10,6188.00,4.152,1.4650
CONFIRMED,11.189570900,0.5410,5.30000,1.4330e+02,0.011323,0.39737,1.81,0.1015,1037.0,273.37,13.800000,19.90,6188.00,4.152,1.4650
CONFIRMED,2.757977384,0.8750,2.14890,2.1100e+02,0.015478,0.33589,1.69,0.0384,1332.0,744.97,5.130000,22.50,5919.00,4.435,1.0000
FALSE POSITIVE,18.692860599,0.1160,3.88584,5.1256e+04,0.205493,4.64322,14.81,0.1240,528.0,18.40,44.100000,1281.90,5190.00,4.660,0.6600
CONFIRMED,14.800750820,0.3670,5.76200,5.0140e+02,0.020773,0.56520,17.38,0.1633,1912.0,3158.09,18.710000,54.00,6327.00,3.092,7.6630
CONFIRMED,3.126861192,0.6030,1.19260,7.9460e+02,0.026786,8.96358,5.12,0.0414,1391.0,886.72,16.670000,94.60,4854.00,3.939,1.7490
FALSE POSITIVE,87.242503160,0.8840,4.12060,1.7860e+04,0.152059,4.24040,15.86,0.3921,390.0,5.49,119.490000,335.20,5671.00,4.501,0.9550
CANDIDATE,10.240611361,0.7860,0.96170,2.9580e+03,0.055757,34.01455,3.90,0.0790,656.0,43.85,57.300000,72.00,5227.00,4.623,0.6400
CONFIRMED,16.877257750,0.5160,3.79170,8.1840e+02,0.026718,1.82851,2.54,0.1245,642.0,40.09,30.200000,43.10,5497.00,4.512,0.8720
CONFIRMED,12.057056590,0.5480,2.34620,5.2390e+02,0.021488,5.05088,1.96,0.0984,689.0,53.26,33.900000,20.80,5365.00,4.537,0.8340
CONFIRMED,28.267273850,0.0100,4.58390,1.1602e+03,0.030268,2.70715,2.93,0.1701,517.0,16.84,48.540000,42.10,5132.00,4.457,0.8860
CONFIRMED,3.770590654,0.2400,2.02900,3.1440e+02,0.016172,3.67551,2.13,0.0474,1272.0,619.65,14.030000,37.10,5714.00,4.274,1.2080
CONFIRMED,2.707306400,0.0070,3.43780,6.9500e+01,0.007624,0.58290,1.36,0.0397,1709.0,2012.12,6.090000,31.70,6045.00,4.069,1.6290
CANDIDATE,23.117072220,0.8070,3.99480,2.4075e+03,0.050285,0.93218,4.37,0.1437,548.0,21.26,29.800000,61.20,5275.00,4.505,0.7960
CANDIDATE,4.775021170,0.5180,1.70870,4.5140e+02,0.019883,5.48899,1.73,0.0502,926.0,174.23,18.770000,16.70,5275.00,4.505,0.7960
CONFIRMED,66.415978900,0.3710,7.06100,2.0532e+03,0.041515,1.46712,3.44,0.3033,376.0,4.71,69.900000,33.60,5383.00,4.603,0.7590
CONFIRMED,8.010392900,0.0450,4.27130,2.9410e+02,0.015473,0.90734,1.88,0.0772,940.0,184.38,14.546000,34.60,5616.00,4.327,1.1110
CANDIDATE,5.695902020,0.0490,3.56610,4.9211e+03,0.064358,1.27755,6.61,0.0627,1043.0,279.61,12.988000,391.20,6106.00,4.497,0.9400
CONFIRMED,27.666637500,0.5190,6.31500,3.2400e+02,0.016826,0.61984,2.04,0.1765,622.0,35.27,29.270000,24.40,5616.00,4.327,1.1110
CONFIRMED,5.195593980,0.0540,3.74800,1.1600e+02,0.009719,0.85697,1.18,0.0579,1085.0,327.78,10.690000,16.00,5616.00,4.327,1.1110
CONFIRMED,57.248851800,0.0220,6.08300,1.4556e+03,0.034581,2.37360,3.19,0.2818,431.0,8.17,74.360000,29.80,5642.00,4.542,0.8460
CONFIRMED,37.055172600,0.8840,5.43900,1.0288e+03,0.034562,0.30132,3.19,0.2109,498.0,14.59,28.000000,23.20,5642.00,4.542,0.8460
CONFIRMED,16.332699810,0.8930,2.17400,3.0040e+02,0.019073,1.59166,1.61,0.1168,591.0,28.76,28.200000,17.50,5208.00,4.563,0.7720
CONFIRMED,10.055502670,0.0610,2.95100,1.4770e+02,0.010883,3.39432,0.92,0.0845,694.0,54.96,26.280000,13.60,5208.00,4.563,0.7720
CONFIRMED,9.304138780,0.4880,1.92540,6.3730e+02,0.023226,8.00468,1.67,0.0748,583.0,27.35,33.200000,24.20,4458.00,4.611,0.6580
CONFIRMED,4.337220070,0.0530,2.49730,3.5850e+02,0.017003,2.46739,1.63,0.0500,996.0,231.86,13.488000,47.90,5390.00,4.499,0.8760
CONFIRMED,1.653889476,0.2260,1.72420,1.2440e+02,0.010095,2.62517,0.97,0.0263,1373.0,838.03,7.240000,22.30,5390.00,4.499,0.8760
CONFIRMED,150.878319800,0.0220,8.67970,6.5990e+02,0.023020,2.08213,4.37,0.5726,423.0,7.56,135.820000,70.60,5504.00,3.999,1.7370
CONFIRMED,3.553831111,0.7400,3.10290,1.9180e+02,0.013709,0.34265,1.62,0.0456,1292.0,658.37,6.120000,77.40,6015.00,4.370,1.0810
CONFIRMED,1.678326300,0.9100,2.51230,1.4630e+02,0.013260,0.10087,1.57,0.0276,1659.0,1797.15,2.470000,76.10,6015.00,4.370,1.0810
CONFIRMED,5.653781630,0.4390,1.94830,3.6680e+02,0.017893,5.00238,1.82,0.0626,1020.0,256.14,20.370000,37.80,5988.00,4.507,0.9340
CONFIRMED,5.991858270,0.9050,1.72150,1.8630e+02,0.014875,0.97256,2.75,0.0681,1355.0,796.76,12.270000,32.10,6157.00,4.049,1.6950
CONFIRMED,120.018355100,0.5800,11.63700,8.8600e+02,0.028322,0.39354,4.54,0.5337,473.0,11.84,66.900000,46.10,6469.00,4.253,1.4670
CONFIRMED,14.305175790,0.9240,4.53500,8.6340e+02,0.033025,0.12872,3.05,0.1129,693.0,54.59,11.170000,37.50,5741.00,4.555,0.8460
CONFIRMED,9.181891220,0.9710,4.34300,3.6360e+02,0.023538,0.03383,2.17,0.0840,804.0,98.61,5.320000,18.20,5741.00,4.555,0.8460
CANDIDATE,2.646227420,0.4780,1.40700,1.5550e+02,0.011576,5.70552,0.99,0.0349,1082.0,324.38,12.830000,8.40,5167.00,4.555,0.7870
CONFIRMED,2.935362067,0.8600,1.50430,1.0526e+03,0.035096,1.41522,3.15,0.0371,1022.0,258.48,8.640000,38.00,4922.00,4.505,0.8230
CONFIRMED,13.539535950,0.2190,4.38900,1.3420e+02,0.010628,1.29876,2.32,0.1246,1079.0,320.19,23.260000,21.80,6109.00,3.985,1.9970
CONFIRMED,22.708237500,0.0320,3.50300,2.9880e+02,0.015865,4.66661,1.72,0.1603,677.0,49.67,50.290000,22.00,6170.00,4.472,0.9920
CONFIRMED,7.970339850,0.1070,2.66750,4.9080e+02,0.020226,3.70342,1.81,0.0755,839.0,116.77,23.170000,23.50,5774.00,4.567,0.8180
FALSE POSITIVE,5.334593930,0.1580,2.64200,2.2630e+02,0.013620,2.45484,0.79,0.0482,627.0,36.55,15.460000,14.70,4275.00,4.704,0.5330
CONFIRMED,8.496404370,0.6280,2.21280,8.3400e+02,0.027616,3.56038,2.14,0.0726,702.0,57.43,23.900000,21.80,5093.00,4.586,0.7090
CONFIRMED,66.184364600,0.8770,5.15500,5.6050e+02,0.025433,0.60878,2.72,0.3179,436.0,8.57,52.000000,21.30,5640.00,4.447,0.9780
CONFIRMED,2.032318856,0.0090,1.15960,2.8750e+02,0.015039,11.52629,1.12,0.0283,1011.0,247.21,13.600000,20.40,4670.00,4.635,0.6820
CANDIDATE,65.187037250,,5.44000,,,,,,,,,,,,
CONFIRMED,3.622755060,0.0070,2.78680,1.8060e+02,0.012192,1.47144,1.62,0.0467,1304.0,683.84,10.069000,22.30,5794.00,4.282,1.2160
CONFIRMED,2.892216772,0.8060,1.35960,3.6050e+02,0.019577,2.39115,1.31,0.0340,794.0,93.66,10.190000,23.90,4229.00,4.655,0.6150
CONFIRMED,187.746606000,0.0150,5.88500,1.5830e+03,0.035869,8.63421,2.95,0.5791,267.0,1.20,252.450000,20.20,5303.00,4.550,0.7530
CONFIRMED,2.543063763,0.2150,2.84730,1.5200e+02,0.011173,0.90721,1.26,0.0358,1319.0,716.30,6.769000,26.50,5579.00,4.389,1.0290
CONFIRMED,3.177414601,0.7860,1.52620,1.1343e+03,0.034227,2.30913,2.65,0.0390,997.0,233.26,10.720000,113.70,5303.00,4.630,0.7080
CONFIRMED,2.168451063,0.2070,1.45800,4.6690e+02,0.019923,5.90550,2.41,0.0337,1558.0,1389.18,11.360000,45.50,6153.00,4.382,1.1090
CONFIRMED,37.815415700,0.5330,4.66200,2.8640e+02,0.015706,2.03620,1.21,0.2016,401.0,6.09,53.600000,22.40,4856.00,4.624,0.7050
CONFIRMED,53.578305200,0.7690,5.19400,2.2490e+02,0.015126,0.93643,1.16,0.2543,357.0,3.82,52.200000,15.40,4856.00,4.624,0.7050
CANDIDATE,6.693328250,0.9520,2.31100,7.8180e+02,0.035078,0.31495,2.44,0.0602,609.0,32.54,9.070000,23.40,4245.00,4.641,0.6370
CONFIRMED,33.136286100,0.7910,4.16300,8.2520e+02,0.029482,1.10741,2.05,0.1748,357.0,3.86,40.100000,16.30,4245.00,4.641,0.6370
CONFIRMED,7.725136190,0.9540,2.04200,3.8220e+02,0.024589,0.40825,1.71,0.0662,581.0,26.91,10.880000,10.50,4245.00,4.641,0.6370
CONFIRMED,10.712534750,0.7200,2.71860,1.1986e+03,0.034061,1.84576,2.02,0.0784,485.0,13.09,22.370000,31.20,4175.00,4.715,0.5440
CONFIRMED,32.563524900,0.3710,5.41800,5.7830e+02,0.021865,1.49185,2.05,0.1900,490.0,13.63,43.700000,24.10,5225.00,4.505,0.8590
CONFIRMED,12.191404050,0.0910,1.88320,6.6580e+02,0.023339,16.30776,2.46,0.0984,763.0,80.01,50.410000,19.40,5516.00,4.399,0.9670
CONFIRMED,6.117849720,0.3910,3.45800,6.0500e+01,0.007241,1.00270,1.05,0.0685,1211.0,509.24,12.570000,25.80,6226.00,4.247,1.3330
CONFIRMED,3.975996290,0.3310,2.20290,2.0600e+02,0.013018,2.76446,1.11,0.0457,936.0,181.47,13.220000,27.30,5143.00,4.561,0.7780
CONFIRMED,7.684785040,0.0450,2.44700,2.7410e+02,0.014831,4.61214,1.47,0.0732,830.0,112.06,24.328000,21.40,5344.00,4.469,0.9070
FALSE POSITIVE,0.990516282,0.9890,2.01900,1.0160e+02,0.013418,0.04243,3.52,0.0206,2841.0,15469.83,1.301000,20.40,5975.00,3.755,2.3990
CONFIRMED,15.044709800,0.0220,5.82300,9.7900e+01,0.009046,0.66070,1.51,0.1152,931.0,177.24,19.920000,23.40,5798.00,4.025,1.5250
CANDIDATE,29.072629300,0.6820,2.51600,4.3960e+02,0.020385,6.74055,2.32,0.1806,614.0,33.69,67.000000,20.90,5799.00,4.370,1.0420
CONFIRMED,1.118547814,0.2210,1.55340,2.3480e+02,0.013601,2.48278,0.98,0.0188,1174.0,447.97,5.480000,21.70,4496.00,4.650,0.6580
CONFIRMED,6.421999190,0.2810,2.61920,1.6160e+02,0.011701,2.77143,1.25,0.0684,1000.0,236.21,18.210000,25.40,5985.00,4.468,0.9810
CONFIRMED,9.753740330,0.2950,2.34800,4.3080e+02,0.019066,5.90057,1.87,0.0892,813.0,103.30,30.960000,18.90,5806.00,4.528,0.8990
CONFIRMED,81.315305200,0.0130,5.80700,7.1550e+02,0.023917,3.75950,2.55,0.3483,393.0,5.64,109.530000,20.70,5325.00,4.390,0.9750
CONFIRMED,51.328352700,0.5820,9.35700,6.9230e+02,0.025029,0.31768,3.06,0.2731,546.0,21.06,35.400000,34.70,6119.00,4.353,1.1190
CONFIRMED,19.791938900,0.9540,3.78700,3.8370e+02,0.022714,0.15530,2.58,0.1473,736.0,69.48,14.760000,22.80,6285.00,4.441,1.0390
CONFIRMED,26.847596200,0.4570,10.06800,2.5410e+02,0.014740,0.16528,3.20,0.1833,800.0,96.89,18.470000,39.20,5508.00,3.897,1.9880
CONFIRMED,62.891749300,0.6320,6.83100,7.9100e+02,0.026810,0.88180,2.50,0.2881,384.0,5.13,56.900000,22.60,5052.00,4.480,0.8550
CONFIRMED,14.871497730,0.0180,2.40760,9.4490e+02,0.027799,9.75643,1.59,0.0977,391.0,5.51,48.500000,27.30,3825.00,4.749,0.5240
CONFIRMED,2.732767897,0.7480,1.11020,6.1310e+02,0.024752,5.83579,1.42,0.0316,687.0,52.68,13.210000,27.00,3825.00,4.749,0.5240
FALSE POSITIVE,119.840101900,1.2690,3.67960,5.4487e+03,0.365731,2.61057,26.96,0.4267,255.0,1.00,125.600000,83.70,4602.00,4.637,0.6750
CONFIRMED,9.613753160,0.6040,4.65400,7.9790e+02,0.026947,0.46378,3.27,0.0897,931.0,177.26,13.130000,108.60,5997.00,4.364,1.1100
CANDIDATE,6.625478100,0.2113,2.35800,1.2200e+02,0.009946,4.07580,0.90,0.0641,828.0,111.18,21.100000,2.70,5211.00,4.500,0.8320
CONFIRMED,29.968591700,0.2820,6.67800,3.0950e+02,0.016258,0.79028,1.91,0.1969,644.0,40.76,33.480000,26.50,6249.00,4.428,1.0760
CONFIRMED,33.240798500,0.2310,4.67500,3.4190e+02,0.016680,2.66299,1.51,0.1975,486.0,13.17,53.780000,20.40,5382.00,4.571,0.8270
FALSE POSITIVE,2.976008460,0.7150,4.27400,1.0320e+02,0.009965,0.12518,2.27,0.0437,1892.0,3034.68,3.880000,25.90,6208.00,3.898,2.0880
CONFIRMED,15.187270490,0.8390,4.50900,2.9250e+02,0.017654,0.26952,1.94,0.1183,789.0,91.56,14.870000,21.40,6136.00,4.414,1.0050
CONFIRMED,28.685321200,0.9220,6.30700,6.8910e+02,0.029427,0.09252,2.69,0.1790,547.0,21.09,15.910000,23.80,5726.00,4.559,0.8380
CONFIRMED,0.588001053,0.4030,1.14510,2.9740e+02,0.015848,2.81504,0.99,0.0114,1188.0,473.45,3.720000,50.90,3814.00,4.687,0.5700
CONFIRMED,85.735720200,0.0330,7.62500,7.4770e+02,0.025021,1.75443,2.94,0.3877,448.0,9.54,88.010000,20.80,6096.00,4.397,1.0770
CONFIRMED,1.078389713,0.8460,1.33940,3.0050e+02,0.018374,0.75953,1.98,0.0196,1667.0,1817.38,3.600000,23.60,5325.00,4.384,0.9850
CONFIRMED,5.037280330,0.9600,2.06190,7.6300e+01,0.010281,0.15727,1.55,0.0628,1321.0,720.22,5.950000,20.90,6387.00,4.271,1.3810
CONFIRMED,3.289726319,0.0520,2.32740,2.3490e+02,0.013779,2.29385,1.37,0.0424,1116.0,367.18,10.948000,27.00,5463.00,4.492,0.9100
CONFIRMED,7.186445940,0.8920,1.49720,4.0200e+02,0.022060,2.24354,2.19,0.0714,860.0,129.48,18.300000,23.80,5463.00,4.492,0.9100
CONFIRMED,15.942484530,0.0220,3.48940,1.0937e+03,0.029718,3.45443,2.62,0.1194,616.0,34.06,35.937000,34.30,5376.00,4.576,0.8060
CONFIRMED,41.008111700,0.8780,4.37600,1.0045e+03,0.034114,0.67537,2.64,0.2144,425.0,7.72,39.200000,43.90,5303.00,4.630,0.7080
CONFIRMED,11.555620420,0.8740,1.67580,4.4150e+02,0.022688,3.10825,2.11,0.0983,703.0,57.75,28.000000,22.70,5420.00,4.555,0.8500
CONFIRMED,12.288504600,0.6320,2.80700,3.4210e+02,0.017657,2.38362,3.22,0.1017,913.0,164.61,26.700000,12.00,5109.00,3.960,1.6710
CONFIRMED,17.132631250,0.2980,3.05550,8.5020e+02,0.026597,4.80501,2.31,0.1242,611.0,32.91,42.090000,26.40,5477.00,4.578,0.7940
CONFIRMED,19.023136100,0.6980,3.43100,4.0160e+02,0.019553,1.63025,2.04,0.1374,647.0,41.50,31.500000,19.70,5569.00,4.459,0.9540
CONFIRMED,4.579482350,0.0550,3.10600,2.0710e+02,0.012971,1.33901,1.35,0.0532,1040.0,276.82,11.407000,20.00,5569.00,4.459,0.9540
