koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_teq,koi_insol,koi_dor,koi_model_snr,koi_steff,koi_slogg,koi_srad
CONFIRMED,4.959319244,0.8310,2.22739,9.8020e+03,0.103379,1.46169,12.21,0.0565,1103.0,349.40,12.386000,696.50,5712.00,4.359,1.0820
FALSE POSITIVE,2.701287801,1.0160,3.38270,8.6040e+02,0.065840,0.02818,6.54,0.0365,1222.0,527.81,2.220000,48.30,5550.00,4.468,0.9100
CONFIRMED,4.498765110,0.3120,3.73620,4.6000e+02,0.019817,0.67106,2.10,0.0542,1133.0,389.62,8.950000,29.50,6075.00,4.486,0.9690
FALSE POSITIVE,19.651209505,0.7230,5.25140,1.1766e+04,0.106953,0.67559,12.42,0.1433,730.0,67.03,23.980000,513.40,6074.00,4.391,1.0630
CONFIRMED,5.412203927,0.7870,2.94720,6.0160e+02,0.024775,0.51087,2.94,0.0591,1093.0,337.68,9.250000,166.70,5779.00,4.339,1.0870
CONFIRMED,41.439586620,0.3550,10.59890,2.7931e+03,0.048175,0.28189,5.50,0.2288,516.0,16.72,29.470000,141.10,5468.00,4.367,1.0460
CONFIRMED,8.353895230,0.0230,2.25140,1.0416e+03,0.029305,6.73215,2.52,0.0768,790.0,91.90,29.180000,43.40,5592.00,4.582,0.7870
CONFIRMED,4.125543472,0.5970,3.17440,1.4873e+03,0.036796,0.67162,4.43,0.0529,1243.0,565.35,8.450000,128.60,6174.00,4.417,1.1030
CONFIRMED,2.816504904,0.1050,2.50587,1.6814e+04,0.117059,2.09079,12.21,0.0383,1219.0,521.13,9.571000,1406.80,5532.00,4.452,0.9550
FALSE POSITIVE,33.933734470,0.8120,14.56100,8.5037e+03,0.095386,0.03710,7.34,0.1881,430.0,8.11,13.120000,236.10,5040.00,4.628,0.7050
CONFIRMED,3.689920099,0.1510,2.65570,4.2670e+02,0.018878,1.70798,1.89,0.0469,1147.0,408.99,10.710000,35.60,5880.00,4.518,0.9170
CONFIRMED,4.431238488,0.4050,3.15000,1.0109e+03,0.029330,1.01996,3.25,0.0529,1104.0,351.23,10.190000,71.10,5714.00,4.428,1.0150
CONFIRMED,11.379369860,0.9110,2.62550,1.0235e+03,0.035628,0.63438,3.95,0.0993,806.0,99.68,16.310000,37.90,5714.00,4.428,1.0150
CONFIRMED,26.394328970,0.6020,3.57300,1.5109e+03,0.036810,2.93923,3.07,0.1635,489.0,13.49,47.700000,48.20,5129.00,4.595,0.7630
CONFIRMED,13.570782810,0.8660,3.35390,5.1170e+02,0.023908,0.49865,2.64,0.1096,785.0,89.61,16.930000,88.40,5854.00,4.406,1.0120
CONFIRMED,7.125943870,0.8980,3.00140,1.9240e+02,0.015120,0.23879,1.79,0.0711,997.0,233.31,8.620000,47.10,5779.00,4.339,1.0870
FALSE POSITIVE,7.442652004,0.1370,2.30780,2.4446e+04,0.143936,7.48712,15.03,0.0742,967.0,206.78,27.990000,835.60,6108.00,4.469,0.9560
CONFIRMED,16.384899880,0.0010,3.02490,1.1271e+03,0.029758,5.45380,2.00,0.1084,433.0,8.35,42.620000,28.90,4126.00,4.661,0.6150
CONFIRMED,7.877416300,0.0410,2.08050,1.3061e+03,0.032090,8.09685,2.16,0.0665,553.0,22.18,29.840000,38.70,4126.00,4.661,0.6150
CONFIRMED,36.445400100,0.0280,4.00700,1.1223e+03,0.029681,5.21237,1.99,0.1847,332.0,2.88,71.530000,21.70,4126.00,4.661,0.6150
CONFIRMED,3.728732147,0.5580,2.68300,5.2265e+03,0.068178,1.24118,6.02,0.0455,1023.0,258.34,9.700000,345.20,5497.00,4.577,0.8090
CANDIDATE,40.419503700,0.9110,3.36200,6.2560e+03,0.088069,1.89549,7.51,0.2062,467.0,11.29,54.700000,36.90,5446.00,4.507,0.7810
CONFIRMED,2.243380573,0.9150,1.11960,8.2170e+02,0.032248,1.50915,1.99,0.0280,822.0,107.60,7.380000,38.90,4149.00,4.698,0.5640
FALSE POSITIVE,10.405998015,0.3240,6.50360,1.4489e+04,0.111248,0.38489,11.23,0.0855,833.0,113.94,13.012000,745.20,5746.00,4.393,0.9240
CONFIRMED,2.337437946,0.2800,1.99820,9.7120e+02,0.027998,2.41093,2.34,0.0325,1070.0,311.16,8.860000,82.40,5005.00,4.595,0.7650
CANDIDATE,7.240661200,1.1980,0.55800,5.5640e+02,0.232818,8.66412,19.45,0.0692,734.0,68.63,28.800000,13.70,5005.00,4.595,0.7650
CANDIDATE,3.435916310,0.6240,3.13300,2.3200e+01,0.004612,0.47024,0.55,0.0437,1272.0,617.61,6.650000,8.70,5779.00,4.339,1.0870
CONFIRMED,11.598222330,0.6790,2.52370,2.8045e+03,0.051287,3.14915,2.65,0.0798,396.0,5.82,28.200000,71.00,3688.00,4.790,0.4730
CONFIRMED,6.575315881,0.3900,4.30840,2.7933e+03,0.049152,0.64392,5.31,0.0670,1015.0,251.38,11.370000,221.10,5992.00,4.415,0.9890
CONFIRMED,7.275040844,0.5470,7.53770,3.0010e+03,0.051358,0.10578,4.86,0.0732,833.0,113.64,6.660000,312.10,5485.00,4.556,0.8670
CONFIRMED,19.271538920,0.0310,2.75940,1.2198e+03,0.031585,8.48241,1.93,0.1171,393.0,5.66,55.020000,37.10,4077.00,4.702,0.5600
CONFIRMED,10.065243170,0.6280,1.36900,1.0533e+03,0.031153,18.09666,1.91,0.0760,488.0,13.43,45.900000,30.30,4077.00,4.702,0.5600
CONFIRMED,12.393565100,0.8830,3.88960,9.1660e+02,0.032536,0.27483,2.66,0.0983,677.0,49.68,13.070000,35.80,5557.00,4.603,0.7500
CONFIRMED,43.844397210,0.8520,6.80200,6.1520e+02,0.025934,0.22039,2.87,0.2395,531.0,18.77,28.200000,83.70,5854.00,4.406,1.0120
FALSE POSITIVE,3.341913228,1.2130,3.81300,7.2530e+02,0.243351,0.01791,21.55,0.0415,1032.0,268.67,2.190000,39.00,5295.00,4.551,0.8110
FALSE POSITIVE,1.626630225,1.2600,2.11450,1.6206e+03,0.305244,0.09631,32.43,0.0260,1547.0,1355.88,2.380000,103.60,5735.00,4.410,0.9730
CONFIRMED,2.711504086,0.0230,3.00990,8.3750e+02,0.026533,0.91618,3.12,0.0401,1420.0,960.79,7.088000,64.50,6214.00,4.442,1.0760
CONFIRMED,7.212037480,0.0120,4.04910,9.5040e+02,0.028255,0.99867,3.32,0.0770,1025.0,260.58,14.003000,51.50,6214.00,4.442,1.0760
FALSE POSITIVE,14.179818700,0.1601,2.50500,4.5990e+02,0.019561,7.76746,1.88,0.1137,711.0,60.35,43.540000,11.20,5799.00,4.539,0.8780
CONFIRMED,8.472379110,0.0220,2.72450,1.1235e+03,0.030119,3.86328,2.59,0.0778,751.0,75.44,24.470000,47.60,5354.00,4.587,0.7880
